iter	Passed	Remaining
0	2	2541
1	4	2213
2	5	1941
3	7	1798
4	8	1716
5	9	1652
6	11	1701
7	14	1749
8	16	1792
9	17	1723
10	19	1764
11	21	1794
12	22	1726
13	24	1751
14	27	1807
15	30	1849
16	32	1894
17	35	1931
18	36	1897
19	39	1932
20	42	1963
21	44	1971
22	45	1929
23	48	1952
24	50	1975
25	53	1996
26	55	2017
27	58	2025
28	61	2043
29	62	2032
30	65	2049
31	67	2040
32	70	2054
33	72	2053
34	73	2033
35	76	2040
36	77	2017
37	79	2023
38	81	2015
39	83	1994
40	84	1978
41	85	1947
42	87	1942
43	88	1923
44	90	1918
45	92	1918
46	94	1918
47	96	1920
48	98	1915
49	100	1908
50	102	1905
51	103	1887
52	104	1874
53	106	1861
54	108	1858
55	108	1830
56	109	1818
57	111	1807
58	112	1790
59	113	1777
60	115	1780
61	117	1779
62	119	1777
63	120	1768
64	123	1769
65	125	1772
66	127	1775
67	128	1758
68	129	1752
69	131	1746
70	132	1733
71	134	1729
72	135	1722
73	137	1718
74	138	1710
75	140	1708
76	141	1701
77	144	1705
78	146	1708
79	148	1706
80	149	1696
81	151	1697
82	152	1689
83	154	1683
84	155	1677
85	156	1665
86	157	1650
87	158	1645
88	160	1640
89	161	1636
90	163	1632
91	165	1629
92	166	1625
93	168	1622
94	169	1618
95	171	1616
96	173	1612
97	174	1608
98	176	1608
99	179	1616
100	181	1618
101	183	1613
102	184	1604
103	185	1600
104	187	1596
105	188	1591
106	190	1587
107	191	1583
108	193	1578
109	194	1576
110	196	1572
111	197	1569
112	199	1564
113	200	1560
114	202	1556
115	204	1554
116	205	1549
117	207	1551
118	208	1543
119	210	1541
120	210	1529
121	212	1528
122	215	1534
123	217	1533
124	218	1527
125	219	1524
126	221	1524
127	223	1523
128	226	1527
129	228	1531
130	230	1531
131	232	1531
132	234	1528
133	236	1530
134	239	1531
135	241	1532
136	243	1531
137	244	1525
138	246	1524
139	247	1521
140	249	1520
141	251	1518
142	252	1515
143	254	1511
144	255	1503
145	256	1502
146	259	1503
147	260	1499
148	262	1501
149	264	1499
150	267	1501
151	269	1502
152	271	1505
153	272	1499
154	275	1499
155	276	1497
156	278	1494
157	280	1492
158	281	1489
159	283	1487
160	285	1489
161	287	1486
162	289	1484
163	291	1484
164	292	1481
165	293	1474
166	295	1472
167	295	1465
168	297	1462
169	299	1463
170	301	1461
171	303	1460
172	305	1461
173	307	1460
174	308	1455
175	310	1455
176	313	1457
177	316	1459
178	318	1459
179	320	1457
180	320	1452
181	322	1448
182	323	1445
183	324	1439
184	326	1437
185	327	1435
186	329	1434
187	332	1434
188	334	1435
189	335	1431
190	337	1428
191	338	1423
192	339	1421
193	341	1418
194	343	1417
195	344	1411
196	346	1413
197	348	1413
198	351	1413
199	352	1411
200	355	1412
201	356	1409
202	358	1406
203	359	1404
204	361	1402
205	363	1399
206	364	1394
207	365	1391
208	366	1388
209	368	1385
210	369	1382
211	371	1380
212	372	1377
213	374	1374
214	376	1372
215	378	1373
216	380	1372
217	382	1370
218	383	1368
219	385	1366
220	387	1364
221	388	1362
222	390	1361
223	392	1359
224	394	1357
225	396	1356
226	397	1354
227	399	1353
228	401	1352
229	403	1349
230	404	1347
231	406	1345
232	407	1342
233	410	1342
234	411	1341
235	413	1339
236	415	1338
237	417	1335
238	418	1333
239	420	1331
240	422	1329
241	423	1327
242	425	1324
243	427	1323
244	429	1322
245	431	1322
246	433	1321
247	435	1321
248	437	1320
249	438	1316
250	440	1314
251	442	1314
252	445	1314
253	447	1313
254	449	1313
255	452	1314
256	454	1314
257	456	1314
258	458	1313
259	461	1312
260	463	1311
261	465	1311
262	468	1311
263	470	1310
264	472	1310
265	474	1310
266	476	1308
267	478	1306
268	480	1304
269	481	1302
270	483	1301
271	485	1299
272	488	1299
